Relative Path,File Name,Assert Location (Line Number),Assert Count
numpy-git/numpy/core/src/multiarray/arraytypes.c.src,arraytypes.c.src,"118,256,2315,2331,2418,2497,2525,2538",8
numpy-git/numpy/core/src/multiarray/arrayfunction_override.h,arrayfunction_override.h,,0
numpy-git/numpy/core/src/multiarray/einsum_sumprod.c.src,einsum_sumprod.c.src,,0
numpy-git/numpy/core/src/multiarray/experimental_public_dtype_api.h,experimental_public_dtype_api.h,,0
numpy-git/numpy/core/src/multiarray/einsum_sumprod.h,einsum_sumprod.h,,0
numpy-git/numpy/core/src/multiarray/datetime_strings.h,datetime_strings.h,,0
numpy-git/numpy/core/src/multiarray/item_selection.h,item_selection.h,,0
numpy-git/numpy/core/src/multiarray/common.h,common.h,,0
numpy-git/numpy/core/src/multiarray/hashdescr.h,hashdescr.h,,0
numpy-git/numpy/core/src/multiarray/strfuncs.h,strfuncs.h,,0
numpy-git/numpy/core/src/multiarray/sequence.h,sequence.h,,0
numpy-git/numpy/core/src/multiarray/array_assign_scalar.c,array_assign_scalar.c,,0
numpy-git/numpy/core/src/multiarray/dlpack.c,dlpack.c,"46,73",2
numpy-git/numpy/core/src/multiarray/multiarraymodule.h,multiarraymodule.h,,0
numpy-git/numpy/core/src/multiarray/nditer_constr.c,nditer_constr.c,"1984,2574",2
numpy-git/numpy/core/src/multiarray/convert_datatype.c,convert_datatype.c,"421,424,1035,1912,2318,2369,2406,2407,2516,2609,2610,2676,2791,3426",14
numpy-git/numpy/core/src/multiarray/temp_elide.h,temp_elide.h,,0
numpy-git/numpy/core/src/multiarray/array_coercion.h,array_coercion.h,,0
numpy-git/numpy/core/src/multiarray/einsum.c.src,einsum.c.src,,0
numpy-git/numpy/core/src/multiarray/dragon4.h,dragon4.h,,0
numpy-git/numpy/core/src/multiarray/refcount.h,refcount.h,,0
numpy-git/numpy/core/src/multiarray/mapping.c,mapping.c,,0
numpy-git/numpy/core/src/multiarray/number.h,number.h,,0
numpy-git/numpy/core/src/multiarray/descriptor.c,descriptor.c,"733,1829,1962",3
numpy-git/numpy/core/src/multiarray/abstractdtypes.h,abstractdtypes.h,,0
numpy-git/numpy/core/src/multiarray/nditer_impl.h,nditer_impl.h,,0
